"Dept_new"	"Dept_name"	"grade_type"	"total_grades"	"total_classes"	"weighted_gpa"	"grade_rank"	"major_comb"
"IES"	"Environmental Sciences"	"100 and 200 Level"	384	11	3.18973958333333	69	"IES: Environmental Sciences"
"IMS"	"Interactive Media Studies"	"100 and 200 Level"	2795	146	3.51899105545617	41	"IMS: Interactive Media Studies"
"ISA"	"Information Systems & Analytics"	"100 and 200 Level"	7743	263	2.87481467131603	16	"ISA: Information Systems & Analytics"
"ITL"	"Italian"	"100 and 200 Level"	1099	63	3.3020746132848	60	"ITL: Italian"
"ITS"	"International Studies"	"100 and 200 Level"	3021	98	3.15868586560741	37	"ITS: International Studies"
"JPN"	"Japanese"	"100 and 200 Level"	727	42	3.1360522696011	67	"JPN: Japanese"
"JRN"	"Journalism"	"100 and 200 Level"	2861	147	3.24907375043691	38	"JRN: Journalism"
"KNH"	"Kinesiology And Health"	"100 and 200 Level"	16340	636	3.2680152998776	5	"KNH: Kinesiology And Health"
"KOR"	"Korean"	"100 and 200 Level"	180	11	3.70083333333333	76	"KOR: Korean"
"LAS"	"Latin American Studies"	"100 and 200 Level"	1165	44	3.26095278969957	58	"LAS: Latin American Studies"
"LAT"	"Latin Language & Literature"	"100 and 200 Level"	338	21	2.74440828402367	74	"LAT: Latin Language & Literature"
"MAC"	"Media And Culture"	"100 and 200 Level"	3129	110	2.95191434963247	35	"MAC: Media And Culture"
"MBI"	"Microbiology"	"100 and 200 Level"	7737	196	3.04363319115936	17	"MBI: Microbiology"
"MGT"	"Management"	"100 and 200 Level"	5552	173	3.09758285302594	26	"MGT: Management"
"MKT"	"Marketing"	"100 and 200 Level"	4101	131	3.36254815898561	31	"MKT: Marketing"
"MME"	"Mechanical & Manufacturing Engineering"	"100 and 200 Level"	2596	136	2.83291602465331	42	"MME: Mechanical & Manufacturing Engineering"
"MTH"	"Mathematics"	"100 and 200 Level"	20709	787	2.43916606306437	2	"MTH: Mathematics"
"MUS"	"Music"	"100 and 200 Level"	12865	414	3.45345744267392	8	"MUS: Music"
"NSC"	"Naval Science"	"100 and 200 Level"	446	24	3.68452914798206	68	"NSC: Naval Science"
"NSG"	"Nursing"	"100 and 200 Level"	1208	57	3.49175496688742	57	"NSG: Nursing"
"PHL"	"Philosophy"	"100 and 200 Level"	3098	123	2.97857004519045	36	"PHL: Philosophy"
"PHY"	"Physics"	"100 and 200 Level"	14112	389	2.98213577097506	6	"PHY: Physics"
"PLW"	"Pre-Law Studies"	"100 and 200 Level"	56	2	3.89482142857143	86	"PLW: Pre-Law Studies"
"POL"	"Political Science"	"100 and 200 Level"	6490	175	3.02094607087827	21	"POL: Political Science"
"POR"	"Portuguese"	"100 and 200 Level"	117	7	3.14931623931624	78	"POR: Portuguese"
"PSY"	"Psychology"	"100 and 200 Level"	12984	392	3.05949245224892	7	"PSY: Psychology"
"REL"	"Comparative Religion"	"100 and 200 Level"	1929	81	3.23803525142561	50	"REL: Comparative Religion"
"RUS"	"Russian"	"100 and 200 Level"	354	25	3.18242937853107	73	"RUS: Russian"
"SJS"	"Social Justice Studies"	"100 and 200 Level"	378	22	3.25082010582011	70	"SJS: Social Justice Studies"
"SOC"	"Sociology"	"100 and 200 Level"	5582	175	3.01519706198495	24	"SOC: Sociology"
"SPA"	"Speech Pathology & Audiology"	"100 and 200 Level"	2167	83	3.37710659898477	47	"SPA: Speech Pathology & Audiology"
"SPN"	"Spanish"	"100 and 200 Level"	8057	396	2.88942162095073	15	"SPN: Spanish"
"STA"	"Statistics"	"100 and 200 Level"	5566	199	2.77806863097377	25	"STA: Statistics"
"STC"	"Strategic Communication"	"100 and 200 Level"	10206	401	3.13123260826965	13	"STC: Strategic Communication"
"THE"	"Theatre"	"100 and 200 Level"	5004	217	3.40219024780176	30	"THE: Theatre"
"UNV"	"University"	"100 and 200 Level"	2317	113	3.64498057833405	45	"UNV: University"
"WGS"	"Women, Gender & Sexuality Studies"	"100 and 200 Level"	2796	118	3.3142095851216	40	"WGS: Women, Gender & Sexuality Studies"
"WST"	"Western Program"	"100 and 200 Level"	742	42	3.64708894878706	66	"WST: Western Program"
